filename_prefix,url,ref_title,authors,ref_year,ref_source,scale_denominator
SHieroglyphicMtns,https://repository.arizona.edu/handle/10150/678584,"Geologic Map of the Southern Hieroglyphic Mountains, Central Arizona","Wahl, D. E. Jr., Reynolds, R. C., Capps, R. C., Kortemeier, C. P., Grubensky, M. J., Scott, E. A., and Stimac, J. A.",2024,"2.0, DGM-244",
SEVultureMountains,https://repository.arizona.edu/handle/10150/678585,"Geologic Map of the Southeastern Vulture Mountains, West-Central Arizona","Grubensky, M J. and Reynolds, S. J.",2024,"2.0, DGM-245",
SantanMtnsPlate2,https://repository.arizona.edu/handle/10150/678598,"Bedrock Geology of the Santan Mountains, Pinal and Maricopa Counties, Arizona","Ferguson, C. A. and Skotnicki, S. J.",2024,"2.0, DGM-249",
SantanMtns,https://repository.arizona.edu/handle/10150/678598,"Bedrock Geology of the Santan Mountains, Pinal and Maricopa Counties, Arizona","Ferguson, C. A. and Skotnicki, S. J.",2024,"2.0, DGM-249",
Salome,https://repository.arizona.edu/handle/10150/667792,"Geologic Map of the Salome 30’ x 60’ Quadrangle, West-Central Arizona","Richard S. M., Spencer J. E., Reynolds S. J., Pearthree, P. A., Demesy, K. A., Thompson, L. A., Snellen, H. L., Theime, J. P.",2023,,
SacatonMtnsWest,https://repository.arizona.edu/handle/10150/678599,"Geologic Map of the Sacaton Mountains, Pinal County, Arizona","Skotnicki, S. J. and Ferguson, C. A.",2024,"2.0, DGM-250",
RawhideMtns,https://repository.arizona.edu/handle/10150/675604,"Geologic Map of the Rawhide Mountains, Mohave County Arizona","Shackelford, Terry J.",2024,"2.0, DGM-201",
PictureMtns,https://repository.arizona.edu/handle/10150/630613,"Geologic Map of the Picture Mountain Quadrangle, Gila County, Arizona","Skotnicki, S.J.",1999,"Arizona Geological Survey Open File Report, OFR-99-23",24000
picachoreservoir,https://repository.arizona.edu/handle/10150/666993,"Surficial geologic map of the Picacho Reservoir Quadrangle, Pinal County, Arizona","Jackson, G.",2022,2.0 Arizona Geological Survey DGM-167,
OracleJunction,https://repository.arizona.edu/handle/10150/630615,Geologic map of the Oracle Junction 7,"Skotnicki, S.J.",2000,"5' Quadrangle and the eastern third of the Tortolita Mountains 7.5' Quadrangle, Pima and Pinal Counties, Arizona. Arizona Geological Survey Open File Report, OFR-00-04",24000
NintySixHillsSW,https://repository.arizona.edu/handle/10150/666983,"Geologic Map of the Ninetysix Hills SW Quadrangle, Pinal County, Arizona",Skotnicki S.J.,2022,2.0 Arizona Geological Survey DGM-184,
NintySixHillsSE,https://repository.arizona.edu/handle/10150/666985,"Geologic Map of the Ninetysix Hills SE, Pinal County, Arizona, Arizona Geological Survey DGM-185",Skotnicki S.J.,2022,,
NintySixHillsNW,https://repository.arizona.edu/handle/10150/666982,"Geologic Map of the Ninetysix Hills NW, Pinal County, Arizona",Skotnicki S.J.,2022,2.0 Arizona Geological Survey DGM-182,
NintySixHillsNE,https://repository.arizona.edu/handle/10150/666984,"Geologic Map of the Ninetysix Hills NE, Pinal County, Arizona, Arizona Geological Survey DGM-183",Skotnicki S.J.,2022,,
NewRiverSE,https://repository.arizona.edu/handle/10150/678596,Geologic Map of the New River SE 7,"Leighty, R. S. and Holloway, S. D.",2024,"5' Quadrangle, Maricopa County, Arizona v. 2.0, DGM-255",
newmanpeak,https://repository.arizona.edu/handle/10150/666992,"Surficial geologic map of the Newman Peak Quadrangle, Pinal County, Arizona","Jackson, G.",2022,2.0 Arizona Geological Survey DGM-168,
NEVultureMtns,https://repository.arizona.edu/handle/10150/678594,"Geologic Map of the Northeastern Vulture Mountains and Vicinity, Central Arizona","Grubensky, M. J., Stimac, J. A., Reynolds, S. J., and Richard, S. M.",2024,"2.0, DGM-243",
NEHieroglyphicMt,https://repository.arizona.edu/handle/10150/678583,"Geologic Map of the Northeastern Hieroglyphic Mountains, Central Arizona","Capps, R. C., Reynolds, S. J., Kortemeier, C. P., and Scott, E. A.",2024,"2.0, DGM-241",
Mine Mountain,https://repository.arizona.edu/handle/10150/675625,"Geologic Map of the Mine Mountain Quadrangle, Maricopa and Gila Counties, Arizona","Skotnicki, S.J. and Leighty, R.S.",2024,"2 Arizona Geological Survey Digital Geologic Map, DGM-212",24000
MiddleGilaRiverTeapotMtns,https://repository.arizona.edu/handle/10150/678588,"Surficial Geology of the Middle Gila River Area, Plate 5 Teapot Mountain, North-Central Pinal County, Arizona","Huckleberry, G.",2024,"2.0, DGM-267",
MiddleGilaRiverNorthButte,https://repository.arizona.edu/handle/10150/678587,"Surficial Geology of the Middle Gila River Area, North Butte 7","Huckleberry, G.",2024,"5' Quadrangle, North-Central Pinal County, Arizona v. 2.0, DGM-286",
MiddleGilaRiverGrayback,https://repository.arizona.edu/handle/10150/678580,"Surficial Geology of the Middle Gila River Area, Grayback 7","Huckleberry, G.",2024,"5' Quadrangle, North-Central Pinal County, Arizona v. 2.0, DGM-266",
MiddleGilaRiverareaFlorence SE,https://repository.arizona.edu/handle/10150/678593,"Surficial Geology of the Middle Gila River Area, Florence SE 7","Huckleberry, G.",2024,"5' Quadrangle, North-Central Pinal County, Arizona v. 2.0, DGM-264",
MiddleGilaRiverAreaFlorence,https://repository.arizona.edu/handle/10150/678579,"Surficial Geology of the Middle Gila River Area, Florence 7","Huckleberry, G.",2024,"5' Quadrangle, North-Central Pinal County, Arizona v. 2.0, DGM-263",
MaverickMtn,https://repository.arizona.edu/handle/10150/675623,Geologic Map of the Maverick Mountain 7,"Skotnicki, S.J. and Leighty, R.S.",2024,"5' Quadrangle, Maricopa County, Arizona v.2. Arizona Geological Survey Digital Geologic Map, DGM-210",24000
LowerAguaCalder,https://repository.arizona.edu/handle/10150/678589,"Surficial Geology of the Lower Agua Fria River, Lake Pleasant to Sun City, Maricopa County, Arizona: Calderwood Butte Quadrangle","Huckleberry, G.",2024,"2.0, DGM-277",
HumboltMtn,https://repository.arizona.edu/handle/10150/630932,Geologic Map of the Humboldt Mountain 7,"Gilbert, W.G., Ferguson, C.A., and Leighty, R.S.",1998,"5' Quadrangle, Maricopa County, Arizona. Arizona Geological Survey Open File Report, OFR-98-11",24000
HorseshoeDam,https://repository.arizona.edu/handle/10150/675627,Geologic Map of the Horseshoe Dam 7,"Ferguson, C.A., Gilbert, W.G., Skotnicki, S.J., Wrucke, C.T., and Conway, C.M.",2024,"5' Quadrangle, Maricopa County, Arizona v.2. Arizona Geological Survey Digital Geologic Map, DGM-214",24000
Gunsight,https://repository.arizona.edu/handle/10150/667898,"Geologic Map of the Gunsight Canyon 7 1/2' Quadrangle, Mohave County, Arizona","Thompson, L. A., Cook, J. P., and Garcia, V. H.",2023,Arizona Geological Survey Digital Geologic Map 191,24000
Goldfield,https://repository.arizona.edu/handle/10150/630781,Geologic map of the Goldfield Quadrangle and the northern part of the Superstition Mountains,"Skotnicki, S.J. and Ferguson, C.A.",1995,"SW Quadrangle, Maricopa and Pinal Counties, Arizona. Arizona Geological Survey Open File Report, OFR-95-09",24000
gisdata_geodatabase,https://repository.arizona.edu/handle/10150/630068,"Geodatabase of Post-Wildfire Study Basins: Assessing the predictive strengths of post-wildfire debris-flow models in Arizona, and defining rainfall intensity-duration thresholds for initiation of post-fire debris flow",Youberg A.,2015,"Arizona Geological Survey Digital Information, DI-44, 10 p., geodatabase, and Excel workbook.",
FourPeaks,https://repository.arizona.edu/handle/10150/675631,Geologic Map of the Four Peaks 7,"Skotnicki, S.J.",2024,"5' Quadrangle, Maricopa and Gila Counties, Arizona v.2. Arizona Geological Survey Open File Report, DGM-220",24000
FountainHills_MountMcDowell,https://repository.arizona.edu/handle/10150/675628,"Geologic Map of the Fountain Hills/Mount McDowell Area, Maricopa County, Arizona","Skotnicki, S.J.",2024,"2. Arizona Geological Survey Digital Geologic Map, DGM-215",24000
FortMcDowell_McDowellPeak,https://repository.arizona.edu/handle/10150/675633,"Geologic Map of Portions of the Fort McDowell and McDowell Peak Quadrangles, Maricopa County, Arizona","Skotnicki, S.J.",2024,"Arizona Geological Survey Digital Geologic Map, DGM-217",24000
FlorenceJunction,https://repository.arizona.edu/handle/10150/630780,Geology of the Florence Junction and southern portion of the Weavers Need 7,"Ferguson, C.A. and Skotnicki, S.J.",1995,"5' quadrangles, Pinal County, Arizona. Arizona Geological Survey Open File Report, OFR-95-10",24000
EloySouth,https://repository.arizona.edu/handle/10150/666994,"Surficial geologic map of the Eloy South Quadrangle, Pinal County, Arizona v","Jackson, G.",2022,2.0 Arizona Geological Survey DGM-171,
EloyNorth,https://repository.arizona.edu/handle/10150/666995,"Surficial geologic map of the Eloy North Quadrangle, Pinal County, Arizona v","Jackson, G.",2022,2.0 Arizona Geological Survey DGM-170,
DaisyMountain,https://repository.arizona.edu/handle/10150/675635,Compilation Geologic Map of the Daisy Mountain 7,"Leighty, R.S.",2024,"5' Quadrangle, Maricopa County, Arizona v.2. Arizona Geological Survey Digital Geologic Map, DGM-222",24000
Crossroads,https://repository.arizona.edu/handle/10150/630071,Geologic map of the Cross Roads 7,"Spencer, J.E., Pearthree, P.A., House, P.K. and Reynolds, S.J.",2015,"5' Quadrangle and the southern part of the Gene Wash 7.5' Quadrangle, La Paz County, Arizona, and San Bernardino County, California. Arizona Geological Survey Digital Geologic Map DGM-111, scale  .",24000
CopperMtns,https://repository.arizona.edu/handle/10150/630614,"Geologic Map of the Copper Mountain Quadrangle, Gila County, Arizona","Skotnicki, S.J.",2022,Arizona Geological Survey DGM-173,
CentralGilaBend,https://repository.arizona.edu/handle/10150/675605,"Compilation Geologic Map of the Central Gila Bend Mountains, Maricopa County, Arizona","Skotnicki,S.J.",2024,"2. Arizona Geological Survey Digital Geologic Map, DGM-230",50000
casagrandemountains,https://repository.arizona.edu/handle/10150/666991,"Surficial geologic map of the Casa Grande Quadrangle, Pinal County, Arizona","Jackson, G.",2022,2.0 Arizona Geological Survey DGM-169,
BoulderMtn,https://repository.arizona.edu/handle/10150/675629,Geologic Map of the Boulder Mountain 7,"Skotnicki, S.J. and Leighty, R.S.",2024,"5' Quadrangle, Maricopa and Gila Counties, Arizona v.2. Arizona Geological Survey Digital Geologic Map, DGM-194",24000
BartlettDam,https://repository.arizona.edu/handle/10150/675634,"Geologic Map of the Bartlett Dam Quadrangle and southern part of the Horseshoe Dam Quadrangle, Maricopa County, Arizona","Skotnicki, S.J.",2024,"2. Arizona Geological Survey Digital Geologic Map, DGM-218, 22 p., 1 map",24000
AZStatewide,https://repository.arizona.edu/handle/10150/677692,Geologic Map of Arizona,"Richard, S.M. Reynolds, S.J. Spencer, J.E. Pearthree, P.A.",2025,"2000, Map-35",
ApacheJunction,https://repository.arizona.edu/handle/10150/630779,"Bedrock geologic map of the Apache Junction and Buckhorn Quadrangles, Maricopa and Pinal Counties, Arizona","Skotnicki, S.J. and Ferguson, C.A.",1996,"Arizona Geological Survey Open File Report, OFR-96-08",24000
AdamsMesa,https://repository.arizona.edu/handle/10150/675624,"Geologic map of the Adams Mesa Quadrangle, Maricopa County, Arizona","Skotnicki, S.J. and Leighty, R.S.",2024,"Arizona Geological Survey Digital Geologic Map, DGM-211",24000
,https://repository.arizona.edu/handle/10150/628757,"A Critique of “Alluvial Fan Flooding Methodology: An Analysis” (DMA Consulting Engineers, 1985, Report to FEMA, Contract EMW-84-C-1488)","Fuller, J.",2012,Arizona Geological Contributed Report 12-A.,
,https://repository.arizona.edu/handle/10150/628768,"Geologic Setting of Precious Metals Mineralization, King of Arizona District, Kofa Mountains, Yuma County, Arizona","Hankins, D.D.",1984,"Arizona Bureau of Geology and Mineral Technology Miscellaneous Map - 84-A, 1 map plate.",
,https://repository.arizona.edu/handle/10150/628789,EarthCube Governance Working Group,"EarthCube Governance Framework: A Proposal to the Community - Documentation, Research, and Recommendations",2012,"Arizona Geological Survey Open-File Report, OFR-12-39 v.1.0, 199 p.",
,https://repository.arizona.edu/handle/10150/628798,,,,,
,https://repository.arizona.edu/handle/10150/628804,"Preliminary Geologic Survey of the Lost Dog Overlook Vicinity, McDowell Sonoran Preserve, Scottsdale, Arizona","Gruber, D.G., Levy, L.S., Millavec, J.T., Ruppert, W.H. and Gootee, B.F.",2010,"Arizona Geological Survey Contributed Report, CR-10-E, 41 p.",
,https://repository.arizona.edu/handle/10150/628819,Roadside Geology: Wupatki and Sunset Crater Volcano National Monuments,"Hanson, S.L.",2003,"Arizona Geological Survey Down to Earth, DTE #15, 36 p.",
,https://repository.arizona.edu/handle/10150/628821,Radon Gas: A Geologic Hazard in Arizona,"Spencer, J.E.",1992,"Arizona Geological Survey Down-to-Earth Series DTE-2, 24 p.",
,https://repository.arizona.edu/handle/10150/628835,"Geology of the Voca Frac Sand District, western Llano Uplift, Texas, in, Conway, F","Kyle, J.R. and McBride, E.F.",2014,"M., ed., Proceedings of the 48th Annual Forum on the Geology of Industrial Minerals, Phoenix, Arizona, April 30 - May 4, 2012. Arizona Geological Survey Special Paper #9, Chapter 2, p. 1-13.",
,https://repository.arizona.edu/handle/10150/628883,Manual For Determination Of Status and Ownership; Arizona Mineral And Water Rights - Fourth Edition,"Lacy, J.C.",1999,"Arizona Dept of Mines and Mineral Resources, Special Paper #23 with Circular 126, Guide to Online Land Status Records, 2007.",
,https://repository.arizona.edu/handle/10150/628922,"Index of Mining Properties in Santa Cruz County, Arizona","Keith, S.B.",1975,"Arizona Bureau of Mines Bulletin-191, 100 p.",
,https://repository.arizona.edu/handle/10150/628928,"Geologic map of the Middle Camp Mountain 7 ½' Quadrangle, La Paz, Arizona","Johnson, B.J., Gootee, B.F., Pearthree, P.A. and Ferguson, C.A.",2017,"Arizona Geological Survey Digital Geologic Map (DGM-121),  ",24000
,https://repository.arizona.edu/handle/10150/628929,"Geologic map of the Moon Mountain SE and western edge of the Bouse SW 7 ½' Quadrangles, La Paz County, Arizona","Gootee, B.F., Pearthree, P.A. and Johnson, B.J.",2017,"Arizona Geological Survey Digital Geologic Map (DGM-122),  .",24000
,https://repository.arizona.edu/handle/10150/628996,"A Field Trip Guide To Sabino Canyon and the Mount Lemmon Highway, Pima County Arizona: Arizona Geological Survey Contributed Report CR-01-A, 37 p","Force, Eric",2001,,
,https://repository.arizona.edu/handle/10150/629004,Comprehensive bibliography of uranium and radon in Arizona,"Harris, R.C., Trapp, R.A.",1994,"Arizona Geological Survey Open File report, OFR-94-25, 50 p.",
,https://repository.arizona.edu/handle/10150/629006,"Sedimentary successions of the prehistoric Santa Cruz River, Tucson, Arizona","Haynes, C.V., Jr., Huckell, B.B.",1986,"Arizona Geological Survey Open File Report, OFR-86-15, 44 p.",
,https://repository.arizona.edu/handle/10150/629021,Geothermal development plan: northern Arizona Counties,"White, D.H. and Goldstone, L.A.",1980,"Arizona Geological Survey Open File Report, OFR-0-10, 50 p.",
,https://repository.arizona.edu/handle/10150/629023,Geothermal development plan: Yuma County,"White, D.H. and Goldstone, L.A.",1980,"Arizona Geological Survey Open File Report, OFR-80-08, 22 p.",
,https://repository.arizona.edu/handle/10150/629044,Geothermal development plan: Pinal County,"White, D.H., Goldstone, L.A.",1982,"Arizona Geological Survey Open File Report, OFR-79-11, 26 p.",
,https://repository.arizona.edu/handle/10150/629045,Geothermal development plan: Graham-Greenlee Counties,"White, D.H., Goldstone, L.A.",1982,"Arizona Geological Survey Open File Report, OFR-79-10, 37 p.",
,https://repository.arizona.edu/handle/10150/629046,Geothermal development plan: Maricopa County,"White, D.H., Goldstone, L.A.",1982,"Arizona Geological Survey open File Report, OFR-79-08, 59 p.",
,https://repository.arizona.edu/handle/10150/629230,"The Geology and Production History of the Uranium-Vanadium Mines on Plot 6, West Reservation Lease, and on Hoslie Henry’s Mining Permits, Northwestern Carrizo Mountains, Apache County, Arizona","Chenoweth, W.",2018,"Arizona Geological Survey Contributed Report CR-18-C, 24 p.",
,https://repository.arizona.edu/handle/10150/629231,Arthur L,"Brown, C.",2012,"Flagg mining photo collection inventory. Arizona Geological Survey Open File Report, OFR-12-11, 16 p.",
,https://repository.arizona.edu/handle/10150/629232,"National Geothermal Data System: Transforming the Discovery, Access, and Analytics of Data for Geothermal Exploration: Compendium of Papers from the 38th Workshop on Geothermal Reservoir Engineering, Stanford University, Stanford, California, February 11-13, 2013",Patten K. (ed.),2013,"Arizona Geological Survey Open File Report, OFR-13-06, 37 p.",
,https://repository.arizona.edu/handle/10150/629233,"Geologic and Geomorphic Characterization of Precariously Balanced Rocks: Arizona Geological Survey Contributed Report CR-11-B, 213 p","Haddad, D.E., and Arrowsmith, J.R.",2011,,
,https://repository.arizona.edu/handle/10150/629234,"Geologic map of Yuma County, Arizona","Wilson, E.D.",1960,"Arizona Bureau of Mines County Geologic map series, 1:375,000",375000
,https://repository.arizona.edu/handle/10150/629235,The Redwall Limestone - The fascinating history and character of Grand Canyon's thickest limestone,"Gootee, B.F.",2014,"A Powerpoint presentation, Grand Canyon Guide Training Seminar 8 February 2014, 27 slides.",
,https://repository.arizona.edu/handle/10150/629236,The Geology and Production History of the Black Rock Point Nos,"Chenoweth, W.L.",2014,"1 and 3 Uranium-Vanadium Mines, Apache County, Arizona Arizona Geological Survey Contributed Report, CR-14-B, 12 p.",
,https://repository.arizona.edu/handle/10150/629237,Map index for geologic maps available from the Arizona Geological Survey,"Spencer, J.E. and Richard, S.M.",2015,"Arizona Geological Survey Open File Report, OFR-15-01, V1.2, 32 p.",
,https://repository.arizona.edu/handle/10150/629238,Geologic map of the Bouse and Ibex Peak 7,"Spencer, J.E., Youberg, A., Love, D.S., Pearthree, P.A., Steinke, T.R. and Reynolds, S.J.",2014,"5’ Quadrangle, La Paz County, Arizona. Arizona Geological Survey Digital Geologic Map DGM-107, v 3.0",24000
,https://repository.arizona.edu/handle/10150/629239,"Earth Fissure Map of the Tator Hills Study Area: Pinal County, Arizona: Arizona Geological Survey Digital Map - Earth Fissure Map 11 (DM-EF-11) V 3",Arizona Geological Survey,2019,0,24000
,https://repository.arizona.edu/handle/10150/629240,The Sonoran Desert Heritage Proposal: An evaluation of the mineral resource potential of lands proposed for withdrawal from mineral entry,"Spencer, J.E.",2013,"Arizona Geological Survey Open File Report, OFR-13-03, 30 p.",
,https://repository.arizona.edu/handle/10150/629241,"Earth Fissure Map of the Three Sisters Buttes Study Area: Cochise County, Arizona",Arizona Geological Survey,2012,"Arizona Geological Survey Digital Map - Earth Fissure (DM-EF-22 v3.0),  ",24000
,https://repository.arizona.edu/handle/10150/629242,"Earth Fissure Map of the Chandler Heights Study Area: Pinal and Maricopa Counties, Arizona: Arizona Geological Survey Digit Map - Earth Fissure Map 1 (DM-EF-1) v",Arizona Geological Survey,2019,5,24000
,https://repository.arizona.edu/handle/10150/629243,"Geologic Map and Proterozoic Structure of Crazy Basin Area, Yavapai County, Arizona: Arizona Geological Survey Contributed Map CM-91-D,  1:10,000","Argenbright, D.N.",1985,,10000
,https://repository.arizona.edu/handle/10150/629244,"Land Subsidence and Earth Fissures in Arizona: Research and Informational Needs for Effective Management: Arizona Geological Survey Contributed Report CR-07-C, 29 p",Arizona Land Subsidence Group,2007,,
,https://repository.arizona.edu/handle/10150/629245,"Stratigraphic, Sedimentologic and Paleobotanical Investigations of Terrace Gravels, U","Nations, J.D., Swift, R.L., Croxen, F., III, and Betts, R.",2009,"S. Army Yuma Proving Grounds: Arizona Geological Survey Contributed Report CR-09-A, 101 p.",
,https://repository.arizona.edu/handle/10150/629246,"Subsurface Geologic Investigation of Fountain Hills and the Lower Verde River Valley, Maricopa County, Arizona: Arizona Geological Survey Contributed Report CR-03-B, 44 p","Skotnicki, S.J., Young, E.M., Goode, T.C., and Bushner, G.L.",2003,,
,https://repository.arizona.edu/handle/10150/629247,"Geologic map of the Little Rincon Mountains, east of the Rincon Mountains and adjacent to the San Pedro Trough: Arizona Geological Survey Contributed Map CM-89-C, ","Smith, C.H.",1989,,10000
,https://repository.arizona.edu/handle/10150/629248,"Geology and Production History of the Big Chief Uranium Mine, Navajo County, Arizona: Arizona Geological Survey Contributed Report CR-92-D, 9 p","Chenoweth, W.L.",1992,,
,https://repository.arizona.edu/handle/10150/629249,Geology and Production History of the Firelight No,"Chenoweth, W.L.",1992,"6 Uranium Mine, Navajo County, Arizona: Arizona Geological Survey Contributed Report CR-92-C, 7 p.",
,https://repository.arizona.edu/handle/10150/629330,Arizona is Earthquake Country,"Conway F.M. and Young, J.J",2012,"Arizona Geological Survey Down to Earth DTE # 21, 44 p.",
,https://repository.arizona.edu/handle/10150/629332,"A Guide to the Geology of the White Mountains and the Springville Volcanic Field, Arizona","Bezy, J.V., Trevena, A.S.",2003,"Arizona Geological Survey Down-to-Earth Series DTE-16, 56 p.",
,https://repository.arizona.edu/handle/10150/629333,,,,,
,https://repository.arizona.edu/handle/10150/629334,Experience Arizona: Online,"Allison, M.L. and 11 others",2012,"Geological Society of America Annual Meeting, 4-7 November,Charlotte, NC, USA",
,https://repository.arizona.edu/handle/10150/629335,A Guide to the Geology of Sabinho Canyon and the Catalina Highway,"Bezy, J.V.",2004,"Arizona Geological Survey Down to Earth, DTE #17, 56 p.",
,https://repository.arizona.edu/handle/10150/629336,Bibliography of Arizona Landslide Maps and Reports,"Welty, J.W., Roddy, M.S., Alger, C.S. and Brabb, E.E.",1988,"Arizona Gological survey Open File Report, OFR-88-14, 16 p.",
,https://repository.arizona.edu/handle/10150/629337,Guidebook to Field Trip No,"Peirce, H.W., Breed, W.J. and Friedman, S.A.",1979,"15 Phoenix-Black Mesa-Page, Arizona November 3-4, 1979. Arizona Geological Survey Open File Report, OFR-79-04, 48 p.",
,https://repository.arizona.edu/handle/10150/629338,History of the Warren (Bisbee) Mining District,"Briggs, D.F.",2015,"Arizona Geological Survey Contributed Report CR-15-b, 8 p.",
,https://repository.arizona.edu/handle/10150/629339,"History of the Copper Mountain (Morenci) Mining District, Greenlee County, Arizona","Briggs, D.F.",2016,"Arizona Geological Survey Contributed Report CR-16-C, 77 p, 2 appendices.",
,https://repository.arizona.edu/handle/10150/629340,"History of the Ajo Mining District, Pima County, Arizona","Briggs, D.F.",2017,"Arizona Geological Survey Contributed Report, CR-17-A, 16 p.",
,https://repository.arizona.edu/handle/10150/629341,"Potential Land Surface Subsidence at the Arizona Superconducting Super Collider (SSC) Site; Considering Past, Current and Possible Future Ground-Water Withdrawal","Brooks, J.S.",1988,"Arizona Geological Survey Open File Report, OFR-88-20, 30 p.",
,https://repository.arizona.edu/handle/10150/629342,J,Arizona Earthquakes,2012,"J. Young and D. Brumbaugh, unpublished presentation at the Arizona Division of Emergency Management, Phoenix, Arizona, on 26 July 2012.",
,https://repository.arizona.edu/handle/10150/629343,Annual Report 1980-1981,Bureau of Geology and Mineral Technology,1981,"Arizona geological Survey Open File Report, OFR-81-31, 8 p.",
,https://repository.arizona.edu/handle/10150/629344,"The geology of, and known mineral occurrences within Wilderness Study Area 4-1A Needles Eye-Mescal Mountains","Calder, R.S.",1983,"Arizona geological Survey Open File Report, OFR-83-11, 65 p.",
,https://repository.arizona.edu/handle/10150/629345,"The Geology of, and Known Mineral Occurrences within Wilderness Study Area 4-48, Whitlock Mountains","Calder, R.S.",1983,"Arizona Geological Survey Open File Report, OFR-83-05, 21 p.",
,https://repository.arizona.edu/handle/10150/629346,"The Geology of, and known Mineral Occurrences within Wilderness Study Areas 4-14 and 4-16 Fishhook -Day Mine","Calder, R.S.",1983,"Arizona Geological Survey Open File Report, OFR-83-09, 30 p.",
,https://repository.arizona.edu/handle/10150/629347,"The Geology of, and known Mineral Occurrences within, Wilderness Study Area 4-60 Varnar Hills-Peloncillo Mountains","Calder, R.S.",1983,"Arizona Geological Survey Open File report, OFR-83-06, 13 p.",
,https://repository.arizona.edu/handle/10150/629348,"The Geology of, and known Mineral Occurrences within, Wilderness Study Area 4-65 Dos Cabezas Mountains","Calder, R.S.",1983,"Arizona Geological Survey Open File Report, OFR-83-10, 60 p.",
,https://repository.arizona.edu/handle/10150/629349,"The geology of, and known mineral occurrences within, Wilderness Study Areas 4-22/23/24 A and B Turtle Mountain - Gila Box","Calder, R.S.",1983,"Arizona Geological Survey Open File Report, OFR-83-08, 35 p.",
,https://repository.arizona.edu/handle/10150/629350,"The geology of, and known mineral occurrences within, Wilderness Study Area 4-8 Jackson Mountain - Black Rock","Calder, S.R., Reynolds, S.J.",1983,"Arizona Geological Survey Open file Report, OFR-83-07, 30 p.",
,https://repository.arizona.edu/handle/10150/629464,A Home Buyer's Guide to Geologic Hazards in Arizona,"Harris, R.C. and Pearthree, P.A.",2002,"Arizona Geological Survey Down-to-Earth #13, 48 p.",
,https://repository.arizona.edu/handle/10150/629465,"Surficial Geologic Map of the Western Piedmont of the Maricopa Mountains and the Southern Piedmont of the Buckeye Hills, Maricopa County, Arizona","Young, J.J. and Cook, J.P. and Pearthree, P.A.",2012,"Arizona Geological Survey Digital Geologic Map DGM-75, 1 plate",24000
