slug,name,website_url,archive_url,ref_title,ref_authors,ref_year
arizona_adgm_1669153655357_865,"Geologic map of the Picketpost Mountain and the southern part of the Iron Mountain 7.5' Quadrangles, Pinal County, Arizona",http://hdl.handle.net/10150/630947,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669153655357-865/PicketpostMts.gpkg,"Geologic map of the Picketpost Mountain and the southern part of the Iron Mountain 7.5' Quadrangles, Pinal County, Arizona","Spencer, J.E.; Richard, S.M.",2022
arizona_adgm_1669153169484_722,"Geologic Map of the Picture Mountain Quadrangle, Gila County, Arizona v.2.0",http://hdl.handle.net/10150/630613,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669153169484-722/PictureMountians.gpkg,"Geologic Map of the Picture Mountain Quadrangle, Gila County, Arizona v.2.0","Skotnicki, S.J.",2022
arizona_adgm_1669151162301_513,"Geologic Map of the Samaniego Hills, Pinal and Pima Counties, Southern Arizona v.2.0",http://hdl.handle.net/10150/630611,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669151162301-513/SamaniegoHills.gpkg,"Geologic Map of the Samaniego Hills, Pinal and Pima Counties, Southern Arizona v.2.0","Ferguson, C.A.; Gilbert, W.G.; Orr, T.R.; Spencer, J.E.; Richard, S.M.; Pearthree, P.A.; Peters, L.",2022
arizona_adgm_1669241725964_438,"Geologic Map of the Sawtooth Mountains and the North End of the West Silver Bell Mountains, Pinal and Pima Counties, Southern Arizona v.2.0",http://hdl.handle.net/10150/630610,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669241725964-438/SawtoothMtn.gpkg,"Geologic Map of the Sawtooth Mountains and the North End of the West Silver Bell Mountains, Pinal and Pima Counties, Southern Arizona v.2.0","Ferguson, C.A.; Gilbert, W.G.; Klawon, J.E.; Pearthree, P.A.; Peters, L.",2022
arizona_adgm_1669748694906_439,"Geologic map of the Southern Roskruge Mountains (the San Pedro and the southern half of La Tortuga Butte 7.5' Quadrangles), Pima County, Arizona",http://hdl.handle.net/10150/630817,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669748694906-439/southroskruge.gpkg,"Geologic map of the Southern Roskruge Mountains (the San Pedro and the southern half of La Tortuga Butte 7.5' Quadrangles), Pima County, Arizona","Ferguson, C.A.; Gilbert, W.G.; Pearthree, P.A.; Biggs, T.H.",2022
arizona_adgm_1673975692807_361,"Geologic map of the Stockton Hill 7.5' quadrangle, Mohave County, Arizona",http://hdl.handle.net/10150/663267,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1673975692807-361/StocktonHill.gpkg,"Geologic map of the Stockton Hill 7.5' quadrangle, Mohave County, Arizona","Johnson, B.J.; Pearthree, P.A.; Richardson, C.A.; Ferguson, C.A.",2022
arizona_adgm_1669153529907_905,"Geology of the Cholla Tank and northern third of the Hoodoo Well quadrangles, northern Kofa Mountains, Yuma and La Paz Counties, Arizona v.2.0",http://hdl.handle.net/10150/630978,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669153529907-905/ChollaTank_Hoodoo.gpkg,"Geology of the Cholla Tank and northern third of the Hoodoo Well quadrangles, northern Kofa Mountains, Yuma and La Paz Counties, Arizona v.2.0","Skotnicki, S., J.; Ferguson, C., A.",2022
arizona_adgm_1669142295432_313,"Geology of the Florence Junction and southern portion of the Weavers Need 7.5' quadrangles, Pinal County, Arizona, v. 2.0",http://hdl.handle.net/10150/630780,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669142295432-313/FlorenceJunction.gpkg,"Geology of the Florence Junction and southern portion of the Weavers Need 7.5' quadrangles, Pinal County, Arizona, v. 2.0","Ferguson, C.A.; Skotnicki, S.J.",2022
arizona_adgm_1669152821495_615,"Geology of the Horse Mesa Dam Quadrangle, Maricopa and Gila Counties, Arizona v.2.0",http://hdl.handle.net/10150/630775,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669152821495-615/HorseMesaDam.gpkg,"Geology of the Horse Mesa Dam Quadrangle, Maricopa and Gila Counties, Arizona v.2.0","Gilbert, W.G.; Ferguson, C.A.",2022
arizona_adgm_1669152454032_487,"Geology of the Mormon Flat Dam Quadrangle, Maricopa County, Arizona v.2.0",http://hdl.handle.net/10150/630776,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669152454032-487/MormonFlatDam.gpkg,"Geology of the Mormon Flat Dam Quadrangle, Maricopa County, Arizona v.2.0","Ferguson, C.A.; Gilbert, W.G.",2022
arizona_adgm_1669239222733_130,"Geology of the northern Kofa Mountains (Owl Head and northern third of the Kofa Butte 7.5' quadrangle), Yuma and La Paz Counties, Arizona v.2.0",http://hdl.handle.net/10150/630979,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669239222733-130/KofaMountains.gpkg,"Geology of the northern Kofa Mountains (Owl Head and northern third of the Kofa Butte 7.5' quadrangle), Yuma and La Paz Counties, Arizona v.2.0","Skotnicki, S.J.; Ferguson, A.C.",2022
arizona_adgm_1669241325073_775,"Preliminary Bedrock Geologic Map and Cross Sections of the Windy Hill 7.5' Quadrangle, Gila County, Arizona v.2.0",http://hdl.handle.net/10150/629931,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669241325073-775/WindyHill.gpkg,"Preliminary Bedrock Geologic Map and Cross Sections of the Windy Hill 7.5' Quadrangle, Gila County, Arizona v.2.0","Spencer, J.E.; Richard, S.M.; Ferguson, C.A.; Gilbert, W.G.",2022
arizona_adgm_1669741179489_559,"Surficial geologic map of the Casa Grande Quadrangle, Pinal County, Arizona v. 2.0",http://hdl.handle.net/10150/666991,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669741179489-559/CasaGrande.gpkg,"Surficial geologic map of the Casa Grande Quadrangle, Pinal County, Arizona v. 2.0","Jackson, G.",2022
arizona_adgm_1669743185563_334,"Surficial geologic map of the Eloy North Quadrangle, Pinal County, Arizona v 2.0",http://hdl.handle.net/10150/666995,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669743185563-334/EloyNorth.gpkg,"Surficial geologic map of the Eloy North Quadrangle, Pinal County, Arizona v 2.0","Jackson, G.",2022
arizona_adgm_1669744320770_749,"Surficial geologic map of the Eloy South Quadrangle, Pinal County, Arizona v. 2.0",http://hdl.handle.net/10150/666994,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669744320770-749/EloySouth.gpkg,"Surficial geologic map of the Eloy South Quadrangle, Pinal County, Arizona v. 2.0","Jackson, G.",2022
arizona_adgm_1669739462175_374,"Surficial geologic map of the Newman Peak Quadrangle, Pinal County, Arizona v. 2.0",http://hdl.handle.net/10150/666992,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669739462175-374/NewmanPeak.gpkg,"Surficial geologic map of the Newman Peak Quadrangle, Pinal County, Arizona v. 2.0","Jackson, G.",2022
arizona_adgm_1669738444900_277,"Surficial Geologic Map of the Picacho Reservoir Quadrangle, Pinal County, Arizona v. 2.0",http://hdl.handle.net/10150/666993,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1669738444900-277/Picacho_PicachoReservoir.gpkg,"Surficial Geologic Map of the Picacho Reservoir Quadrangle, Pinal County, Arizona v. 2.0","Jackson, G.",2022
arizona_adgm_1674060377543_777,"Surficial geologic map of the Shingle Mill Mountain and eastern part of the Tripp Canyon 7.5' quadrangles, Graham County, Arizona",http://hdl.handle.net/10150/663268,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1674060377543-777/ShingleMillMtn.gpkg,"Surficial geologic map of the Shingle Mill Mountain and eastern part of the Tripp Canyon 7.5' quadrangles, Graham County, Arizona","Gootee, B.F.; Cook, J.P.",2022
arizona_adgm_1612891583536_718,"Geologic map of Sam Powell Peak 7.5' Quadrangle, Yavapai County, Arizona",http://hdl.handle.net/10150/652282,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1612891583536-718/SamPowellPeak.zip,"Geologic map of Sam Powell Peak 7.5' Quadrangle, Yavapai County, Arizona",Brian F. Gootee; Holly M. Brown; Joseph P. Cook; Stephen J. Reynolds,2021
arizona_adgm_1612891583536_718,"Geologic map of Sam Powell Peak 7.5' Quadrangle, Yavapai County, Arizona",http://hdl.handle.net/10150/652282,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1612891583536-718/simple.zip,"Geologic map of Sam Powell Peak 7.5' Quadrangle, Yavapai County, Arizona",Brian F. Gootee; Holly M. Brown; Joseph P. Cook; Stephen J. Reynolds,2021
arizona_adgm_1612891583536_718,"Geologic map of Sam Powell Peak 7.5' Quadrangle, Yavapai County, Arizona",http://hdl.handle.net/10150/652282,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1612891583536-718/ncgmp09.zip,"Geologic map of Sam Powell Peak 7.5' Quadrangle, Yavapai County, Arizona",Brian F. Gootee; Holly M. Brown; Joseph P. Cook; Stephen J. Reynolds,2021
arizona_adgm_1633023592877_889,"Geologic map of the Arizona part of the Gene Wash 7.5' Quadrangle, Mohave and La Paz Counties, Arizona v.2",http://hdl.handle.net/10150/630070,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1633023592877-889/GeneWash-open.zip,"Geologic map of the Arizona part of the Gene Wash 7.5' Quadrangle, Mohave and La Paz Counties, Arizona v.2","Johnson, B.J.; Spencer, J.E.; Pearthree, P.A.",2021
arizona_adgm_1633023592877_889,"Geologic map of the Arizona part of the Gene Wash 7.5' Quadrangle, Mohave and La Paz Counties, Arizona v.2",http://hdl.handle.net/10150/630070,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1633023592877-889/GeneWash-simple.zip,"Geologic map of the Arizona part of the Gene Wash 7.5' Quadrangle, Mohave and La Paz Counties, Arizona v.2","Johnson, B.J.; Spencer, J.E.; Pearthree, P.A.",2021
arizona_adgm_1633023592877_889,"Geologic map of the Arizona part of the Gene Wash 7.5' Quadrangle, Mohave and La Paz Counties, Arizona v.2",http://hdl.handle.net/10150/630070,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1633023592877-889/ncgmp09.zip,"Geologic map of the Arizona part of the Gene Wash 7.5' Quadrangle, Mohave and La Paz Counties, Arizona v.2","Johnson, B.J.; Spencer, J.E.; Pearthree, P.A.",2021
arizona_adgm_1632850102975_837,"Geologic Map of the Artesia 7.5' Quadrangle and the Northeastern Corner of the Mount Graham 7.5' Quadrangle, Graham County, Arizona v.2",http://hdl.handle.net/10150/630061,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1632850102975-837/ArtesiaMtGraham_ncgmp09-open.zip,"Geologic Map of the Artesia 7.5' Quadrangle and the Northeastern Corner of the Mount Graham 7.5' Quadrangle, Graham County, Arizona v.2","Cook, J.P.",2021
arizona_adgm_1632850102975_837,"Geologic Map of the Artesia 7.5' Quadrangle and the Northeastern Corner of the Mount Graham 7.5' Quadrangle, Graham County, Arizona v.2",http://hdl.handle.net/10150/630061,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1632850102975-837/ArtesiaMtGraham_ncgmp09-simple.zip,"Geologic Map of the Artesia 7.5' Quadrangle and the Northeastern Corner of the Mount Graham 7.5' Quadrangle, Graham County, Arizona v.2","Cook, J.P.",2021
arizona_adgm_1632850102975_837,"Geologic Map of the Artesia 7.5' Quadrangle and the Northeastern Corner of the Mount Graham 7.5' Quadrangle, Graham County, Arizona v.2",http://hdl.handle.net/10150/630061,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1632850102975-837/ncgmp09.zip,"Geologic Map of the Artesia 7.5' Quadrangle and the Northeastern Corner of the Mount Graham 7.5' Quadrangle, Graham County, Arizona v.2","Cook, J.P.",2021
arizona_adgm_1632853117283_407,"Geologic Map of the Black Peak and Bobs Well 7.5 Quadrangles, La Paz County, Arizona v.2",http://hdl.handle.net/10150/629496,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1632853117283-407/BlackPeakBobsWell_ncgmp09-open.zip,"Geologic Map of the Black Peak and Bobs Well 7.5 Quadrangles, La Paz County, Arizona v.2","Pearthree, P.A.; Spencer, J.E.; Youberg, A.; House, P.K.",2021
arizona_adgm_1632853117283_407,"Geologic Map of the Black Peak and Bobs Well 7.5 Quadrangles, La Paz County, Arizona v.2",http://hdl.handle.net/10150/629496,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1632853117283-407/BlackPeakBobsWell_ncgmp09-simple.zip,"Geologic Map of the Black Peak and Bobs Well 7.5 Quadrangles, La Paz County, Arizona v.2","Pearthree, P.A.; Spencer, J.E.; Youberg, A.; House, P.K.",2021
arizona_adgm_1632853117283_407,"Geologic Map of the Black Peak and Bobs Well 7.5 Quadrangles, La Paz County, Arizona v.2",http://hdl.handle.net/10150/629496,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1632853117283-407/ncgmp09.zip,"Geologic Map of the Black Peak and Bobs Well 7.5 Quadrangles, La Paz County, Arizona v.2","Pearthree, P.A.; Spencer, J.E.; Youberg, A.; House, P.K.",2021
arizona_adgm_1632851423129_277,"Geologic map of the Bouse and Ibex Peak 7.5 ’ Quadrangles, La Paz County, Arizona v 3.0",http://hdl.handle.net/10150/629238,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1632851423129-277/BouseIbexPeak_ncgmp09-open.zip,"Geologic map of the Bouse and Ibex Peak 7.5 ’ Quadrangles, La Paz County, Arizona v 3.0","Spencer, J.E.; Youberg, A.; Love, D.S.; Pearthree, P.A.; Steinke, T.R.; Reynolds, S.J.",2021
arizona_adgm_1632851423129_277,"Geologic map of the Bouse and Ibex Peak 7.5 ’ Quadrangles, La Paz County, Arizona v 3.0",http://hdl.handle.net/10150/629238,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1632851423129-277/BouseIbexPeak_ncgmp09-simple.zip,"Geologic map of the Bouse and Ibex Peak 7.5 ’ Quadrangles, La Paz County, Arizona v 3.0","Spencer, J.E.; Youberg, A.; Love, D.S.; Pearthree, P.A.; Steinke, T.R.; Reynolds, S.J.",2021
arizona_adgm_1632851423129_277,"Geologic map of the Bouse and Ibex Peak 7.5 ’ Quadrangles, La Paz County, Arizona v 3.0",http://hdl.handle.net/10150/629238,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1632851423129-277/ncgmp09.zip,"Geologic map of the Bouse and Ibex Peak 7.5 ’ Quadrangles, La Paz County, Arizona v 3.0","Spencer, J.E.; Youberg, A.; Love, D.S.; Pearthree, P.A.; Steinke, T.R.; Reynolds, S.J.",2021
arizona_adgm_1631826979670_262,"Geologic map of the Cactus Forest 7.5' Quadrangle, Pinal County, Arizona  v. 2.0",http://hdl.handle.net/10150/629460,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1631826979670-262/CactusForest_ncgmp09-open.zip,"Geologic map of the Cactus Forest 7.5' Quadrangle, Pinal County, Arizona  v. 2.0","Pearthree, P.A.",2021
arizona_adgm_1631826979670_262,"Geologic map of the Cactus Forest 7.5' Quadrangle, Pinal County, Arizona  v. 2.0",http://hdl.handle.net/10150/629460,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1631826979670-262/CactusForest_ncgmp09-simple.zip,"Geologic map of the Cactus Forest 7.5' Quadrangle, Pinal County, Arizona  v. 2.0","Pearthree, P.A.",2021
arizona_adgm_1631826979670_262,"Geologic map of the Cactus Forest 7.5' Quadrangle, Pinal County, Arizona  v. 2.0",http://hdl.handle.net/10150/629460,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1631826979670-262/ncgmp09.zip,"Geologic map of the Cactus Forest 7.5' Quadrangle, Pinal County, Arizona  v. 2.0","Pearthree, P.A.",2021
arizona_adgm_1631737870102_221,"Geologic Map of the Chief Butte 7.5' Quadrangle, Southeastern Pinal County, Arizona, v. 2",http://hdl.handle.net/10150/630919,https://data.azgs.arizona.edu/api/v1/collections/ADGM-1631737870102-221/ChiefButte-open.zip,"Geologic Map of the Chief Butte 7.5' Quadrangle, Southeastern Pinal County, Arizona, v. 2","Spencer, Jon E.; Richard, Stephen M.; Youberg, Ann; Ferguson, Charles A.; Orr, Tim R.",2021
